Time,Voltage,Current,Battery_Temp_degC
0,4.18188,-0.01062,25.6307
0.103992596,4.18059,-0.04573,25.6307
0.197997317,4.17995,-0.06043,25.6307
0.299998373,4.17995,-0.06533,25.6307
0.406998396,4.17995,-0.06615,25.64191
0.49799569,4.17995,-0.06615,25.64191
0.605991483,4.17995,-0.06615,25.6307
0.701997802,4.17995,-0.06696,25.6307
0.807991996,4.17995,-0.06615,25.6307
0.899995118,4.17995,-0.06696,25.6307
1.001000404,4.17995,-0.06696,25.6307
1.102991402,4.17995,-0.06615,25.6307
1.203996688,4.17995,-0.06615,25.6307
1.303996146,4.17995,-0.06615,25.6307
1.403995603,4.17995,-0.06615,25.64191
1.505996659,4.17995,-0.06615,25.64191
1.603994519,4.17995,-0.06615,25.64191
1.705995575,4.17995,-0.06615,25.64191
1.795997098,4.17995,-0.06696,25.64191
1.898993924,4.17995,-0.06615,25.64191
2.00099498,4.17995,-0.06615,25.64191
2.103991807,4.17995,-0.06615,25.64191
2.204997092,4.17995,-0.06696,25.64191
2.30499655,4.17995,-0.06615,25.64191
2.404000238,4.1793,-0.06696,25.64191
2.500992268,4.17995,-0.06615,25.64191
2.599995956,4.17995,-0.06615,25.6307
2.701997012,4.1793,-0.06696,25.6307
2.795991674,4.1793,-0.06696,25.6307
2.898998559,4.1793,-0.06615,25.64191
2.999993786,4.1793,-0.08738,25.64191
3.103996441,4.17609,-0.15679,25.64191
3.206993267,4.1748,-0.18047,25.64191
3.302999586,4.1748,-0.18619,25.64191
3.399991617,4.17416,-0.18864,25.64191
3.50699164,4.17416,-0.18864,25.64191
3.607996926,4.17416,-0.18864,25.6307
3.705994785,4.17416,-0.18864,25.6307
3.796992078,4.17416,-0.18946,25.6307
3.907995299,4.17416,-0.18946,25.6307
3.997001052,4.17416,-0.18946,25.6307
4.099997878,4.16451,-0.53652,25.6307
4.204000533,4.16065,-0.55203,25.6307
4.302994162,4.15936,-0.55775,25.6307
4.404995218,4.15872,-0.55938,25.6307
4.49799411,4.15807,-0.55938,25.6307
4.601000994,4.15807,-0.55938,25.64191
4.704993591,4.15807,-0.5602,25.64191
4.806994647,4.15807,-0.5602,25.64191
4.904992506,4.15807,-0.5602,25.64191
5.004991964,4.15486,-1.04527,25.64191
5.103995651,4.1452,-1.04119,25.6307
5.203995109,4.14006,-1.04201,25.6307
5.305000395,4.13813,-1.04282,25.6307
5.39499186,4.13748,-1.04282,25.64191
5.50499931,4.13748,-1.04364,25.64191
5.607000366,4.13684,-1.04364,25.6307
