Time,Battery Level,Temperature,Voltage,Current
14:00:28,25,37.5,3380,506283
14:00:29,25,37.5,3380,506283
14:00:30,25,37.5,3380,506283
14:00:31,25,37.5,3380,506283
14:00:32,25,37.5,3380,506283
14:00:33,25,37.5,3380,506283
14:00:34,25,37.7,3380,506283
14:00:35,23,37.7,3434,503537
14:00:36,23,37.7,3434,503537
14:00:37,23,37.7,3434,503537
14:00:38,23,37.7,3434,503537
14:00:39,23,37.7,3434,503537
14:00:40,23,37.7,3434,503537
14:00:41,23,37.7,3434,503537
14:00:42,23,37.7,3434,503537
14:00:43,23,37.5,3434,503537
14:00:44,23,37.5,3434,503537
14:00:45,23,37.5,3434,503537
14:00:46,23,37.5,3434,503537
14:00:47,23,37.5,3434,503537
14:00:48,23,37.5,3434,503537
14:00:49,23,37.5,3434,503537
14:00:50,23,37.5,3434,503537
14:00:51,23,37.5,3434,503537
14:00:52,23,37.5,3434,503537
14:00:54,23,37.5,3434,503537
14:00:55,23,37.5,3434,503537
14:00:56,23,37.5,3434,503537
14:00:57,23,37.5,3434,503537
14:00:58,23,37.5,3434,503537
14:00:59,23,37.5,3434,503537
14:01:00,23,37.5,3434,503537
14:01:01,23,37.5,3434,503537
14:01:02,23,37.5,3434,503537
14:01:03,23,37.5,3434,503537
14:01:04,23,38.2,3434,503537
14:01:05,23,38.2,3434,-1853626
14:01:06,23,38.2,3434,-1853626
14:01:07,23,38.2,3434,-1853626
14:01:08,23,38.2,3434,-1853626
14:01:09,24,38.2,4289,-1853626
14:01:10,24,38.2,4289,-1853626
14:01:11,24,38.2,4289,-1853626
14:01:12,24,38.2,4289,-1853626
14:01:13,24,38.2,4289,-1853626
14:01:14,24,38.2,4289,-1853626
14:01:15,24,38.2,4289,-1853626
14:01:16,24,38.2,4289,-1853626
14:01:17,24,38.2,4289,-1853626
14:01:18,24,38.2,4289,-1853626
14:01:19,24,38.2,4289,-1853626
14:01:20,24,38.2,4289,-1853626
14:01:21,24,38.2,4289,-1853626
14:01:22,24,38.2,4289,-1853626
14:01:23,24,38.2,4289,-1853626
14:01:24,24,38.2,4289,-1853626
14:01:26,24,38.2,4289,-1853626
14:01:27,24,38.2,4289,-1853626
14:01:28,24,38.2,4289,-1853626
14:01:29,24,38.2,4289,-1853626
14:01:30,24,38.2,4289,-1853626
